Date,Time,Well Name,Seating Nipple Depth (ft),Plunger Diameter (in),ACU Acoustic Velocity (ft/s),ACU Tubing Pressure (psi (g)),Back Pressure (psi (g)),Back Pressure on Formation Due to Liquid Loading (psi (g)),Gas Free Above Pump (ft),Fluid Above Pump (ft),Distance to Liquid (ft),Well State,ACU Casing Pressure (psi (g)),Strokes Per Minute (SPM),Computed Stroke Length (in),Effective Plunger Travel (in),Maximum Plunger Stroke (in),Adjusted EPT (in)
12/20/2024,10:21:43 AM,Aaron #1,6554,1.750,1175,,,142.3,127,561,5992,Producing,68.7,,,,,
04/25/2024,11:58:47 AM,BALFOUR #1,7261,1.250,,,,,,,,,,4.91,84.40,67.08,68.46,56.3
04/25/2024,12:00:07 PM,BALFOUR #1,7261,1.250,1149,,,41.8,86,334,6843,Producing,54.5,,,,,
08/20/2024,04:14:25 PM,BALFOUR #1,7261,1.250,,,,,,,,,,5.41,85.22,68.59,70.91,58.3
08/20/2024,04:16:30 PM,BALFOUR #1,7261,1.250,1092,,,42.9,65,264,6916,Producing,25.3,,,,,
11/07/2024,09:44:15 AM,BALFOUR #1,7261,1.250,,,,,,,,,,4.96,85.22,60.27,62.14,48.1
11/07/2024,09:59:08 AM,
11/07/2024,09:59:08 AM,
11/07/2024,09:59:08 AM,BALFOUR #1,7261,1.250,1165,,,51.0,78,122,7083,Producing,82.1,,,,,
05/23/2024,10:26:56 AM,BARRIER #1,6605,1.250,,,,,,,,,,5.65,84.95,28.87,70.35,18.1
05/23/2024,10:30:02 AM,BARRIER #1,6605,1.250,1139,,,,,,6623,Producing,,,,,,
05/23/2024,10:32:12 AM,BARRIER #1,6605,1.250,1145,,,92.3,,,6673,Producing,8.2,,,,,
04/12/2024,04:00:54 PM,Beeler #16 RE,5346,2.000,1125,,,,3484,3484,1861,Static,18.0,,,,,
04/16/2024,10:37:05 AM,Beeler #16 RE,5346,2.000,,,,,,,,,,6.36,149.53,135.69,143.73,116.2
04/16/2024,10:52:26 AM,Beeler #16 RE,5346,2.000,1122,,,,4968,4968,377,Static,40.0,,,,,
04/22/2024,12:10:46 PM,Beeler #16 RE,5346,2.000,,,,,,,,,,6.35,149.21,144.68,146.55,140.1
04/22/2024,12:23:19 PM,Beeler #16 RE,5346,2.000,1122,,,615.1,1287,5138,208,Producing,85.9,,,,,
04/23/2024,10:17:18 AM,Beeler #16 RE,5346,2.000,,,,,,,,,,6.28,149.85,139.91,146.13,134.2
04/23/2024,10:19:42 AM,Beeler #16 RE,5346,2.000,1122,,,605.7,1309,5342,3,Producing,124.3,,,,,
04/23/2024,10:35:58 AM,Beeler #16 RE,5346,2.000,,,,,,,,,,6.30,150.37,136.11,145.15,128.7
04/26/2024,02:55:19 PM,Beeler #16 RE,5346,2.000,,,,,,,,,,6.29,150.38,137.50,146.10,123.6
04/26/2024,02:57:18 PM,Beeler #16 RE,5346,2.000,1569,,,604.9,1224,5115,231,Producing,57.5,,,,,
04/26/2024,03:14:29 PM,Beeler #16 RE,5346,2.000,1281,,,552.6,1104,5158,188,Producing,55.7,,,,,
04/26/2024,03:18:47 PM,Beeler #16 RE,5346,2.000,,,,,,,,,,,,,,
04/26/2024,03:25:20 PM,Beeler #16 RE,5346,2.000,,,,,,,,,,6.79,149.33,139.26,146.80,127.8
04/29/2024,04:04:45 PM,Beeler #16 RE,5346,2.000,,,,,,,,,,7.04,150.77,143.23,147.51,133.0
04/29/2024,04:07:10 PM,Beeler #16 RE,5346,2.000,1134,,,656.7,1339,4691,654,Producing,61.1,,,,,
04/30/2024,10:35:49 AM,Beeler #16 RE,5346,2.000,,,,,,,,,,6.96,149.75,144.97,145.58,142.7
04/30/2024,10:41:03 AM,Beeler #16 RE,5346,2.000,,,,,,,,,,6.94,150.11,146.04,146.51,138.7
04/30/2024,10:43:28 AM,Beeler #16 RE,5346,2.000,1086,,,620.2,1187,3818,1528,Producing,52.0,,,,,
05/22/2024,01:44:08 PM,Beeler #16 RE,5346,2.000,,,,,,,,,,6.98,150.24,157.66,157.73,156.1
05/22/2024,01:46:34 PM,Beeler #16 RE,5346,2.000,1117,,,-2.2,,,7208,Producing,105.4,,,,,
05/22/2024,01:50:54 PM,Beeler #16 RE,5346,2.000,1106,,,639.6,1288,4144,1201,Producing,93.9,,,,,
05/24/2024,10:13:47 AM,Beeler #16 RE,5346,2.000,,,,,,,,,,5.81,149.02,127.66,144.54,109.6
05/24/2024,10:15:22 AM,Beeler #16 RE,5346,2.000,1115,,,655.6,1252,3796,1550,Producing,35.9,,,,,
05/30/2024,02:48:55 PM,Beeler #16 RE,5346,2.000,,,,,,,,,,5.94,149.48,118.21,139.01,86.7
05/30/2024,03:04:25 PM,Beeler #16 RE,5346,2.000,1110,,,686.9,1311,3658,1688,Producing,36.9,,,,,
06/06/2024,02:18:15 PM,Beeler #16 RE,5346,2.000,,,,,,,,,,5.80,150.28,53.48,140.96,0.1
06/06/2024,02:18:15 PM,
06/11/2024,10:02:55 AM,Beeler #16 RE,5346,2.000,,,,,,,,,,5.45,149.79,76.48,139.55,59.6
06/11/2024,10:02:55 AM,
06/12/2024,01:30:16 PM,Beeler #16 RE,5346,2.000,,,,,,,,,,5.64,150.29,128.69,153.71,57.1
06/12/2024,01:32:15 PM,Beeler #16 RE,5346,2.000,1139,,,603.6,1117,3594,1751,Producing,34.7,,,,,
06/12/2024,01:41:12 PM,Beeler #16 RE,5346,2.000,,,,,,,,,,5.56,149.90,131.34,154.24,82.5
06/19/2024,12:25:54 PM,Beeler #16 RE,5394,2.000,,,,,,,,,,5.62,149.17,41.61,137.78,13.7
06/20/2024,12:14:05 PM,Beeler #16 RE,5394,2.000,,,,,,,,,,5.73,150.74,47.35,137.10,1.0
06/20/2024,12:27:41 PM,Beeler #16 RE,5394,2.000,1174,,,540.5,992,3065,2329,Producing,94.7,,,,,
06/21/2024,09:59:14 AM,Beeler #16 RE,5394,2.000,,,,,,,,,,5.73,149.77,44.86,140.00,0.1
06/24/2024,09:37:17 AM,Beeler #16 RE,5394,2.000,,,,,,,,,,5.78,149.80,76.44,145.74,6.2
06/24/2024,09:49:43 AM,Beeler #16 RE,5394,2.000,1164,,,482.6,856,2932,2461,Producing,94.6,,,,,
06/25/2024,10:52:23 AM,Beeler #16 RE,5394,2.000,,,,,,,,,,5.95,149.48,86.99,143.51,48.1
06/26/2024,11:05:02 AM,Beeler #16 RE,5394,2.000,,,,,,,,,,5.80,148.28,93.39,131.60,83.4
06/26/2024,11:18:18 AM,Beeler #16 RE,5394,2.000,1145,,,394.6,707,3577,1816,Producing,88.5,,,,,
06/27/2024,08:41:00 AM,Beeler #16 RE,5394,2.000,,,,,,,,,,5.82,148.60,121.88,127.26,119.3
06/27/2024,08:53:16 AM,Beeler #16 RE,5394,2.000,1151,,,412.7,653,2367,3026,Producing,82.8,,,,,
06/28/2024,08:32:43 AM,Beeler #16 RE,5394,2.000,,,,,,,,,,5.93,149.22,47.53,135.85,0.1
07/01/2024,10:01:11 AM,Beeler #16 RE,5394,2.000,,,,,,,,,,6.17,149.85,39.11,139.90,0.1
07/09/2024,10:56:38 AM,Beeler #16 RE,5394,2.000,,,,,,,,,,6.64,150.16,126.93,129.41,115.5
07/09/2024,11:10:03 AM,Beeler #16 RE,5394,2.000,1174,,,438.4,781,3558,1836,Producing,54.1,,,,,
07/24/2024,11:29:01 AM,Beeler #16 RE,5394,2.000,,,,,,,,,,6.04,150.22,78.21,146.51,0.1
07/24/2024,11:32:15 AM,Beeler #16 RE,5394,2.000,1151,,,637.3,1209,3435,1959,Producing,44.7,,,,,
07/24/2024,11:38:12 AM,Beeler #16 RE,5394,2.000,,,,,,,,,,6.14,149.45,54.01,146.25,0.1
07/26/2024,10:30:31 AM,Beeler #16 RE,5394,2.000,,,,,,,,,,6.23,148.78,53.81,143.91,0.1
07/26/2024,10:33:36 AM,Beeler #16 RE,5394,2.000,1165,,,528.1,983,3646,1748,Producing,46.4,,,,,
07/30/2024,12:03:13 PM,Beeler #16 RE,5394,2.000,,,,,,,,,,4.88,150.36,129.28,137.35,92.2
07/30/2024,12:27:13 PM,Beeler #16 RE,5394,2.000,1141,,,394.7,608,2458,2935,Producing,46.1,,,,,
08/18/2024,12:23:48 PM,Beeler #16 RE,5394,2.000,,,,,,,,,,4.94,149.12,132.24,133.84,121.8
08/18/2024,12:25:17 PM,Beeler #16 RE,5394,2.000,1135,,,370.0,530,2116,3278,Producing,46.4,,,,,
08/22/2024,10:47:55 AM,Beeler #16 RE,5394,2.000,1166,,,1040.5,2048,3058,2336,Producing,39.5,,,,,
08/22/2024,05:03:24 PM,Beeler #16 RE,5394,2.000,,,,,,,,,,7.33,150.14,43.64,146.29,0.1
08/22/2024,05:04:56 PM,Beeler #16 RE,5394,2.000,1162,,,562.5,978,2752,2642,Producing,45.0,,,,,
10/02/2024,11:41:35 AM,Beeler #16 RE,5394,1.500,,,,,,,,,,6.58,149.73,126.23,145.74,117.7
10/02/2024,11:43:16 AM,Beeler #16 RE,5394,1.500,1141,,,423.6,557,1610,3784,Producing,24.5,,,,,
10/02/2024,11:45:20 AM,Beeler #16 RE,5394,1.500,,,,,,,,,,5.79,149.01,138.69,145.40,133.6
04/18/2024,12:24:58 PM,Beeler #17,7281,1.250,1196,,,,674,674,6336,Static,48.9,,,,,
04/19/2024,12:17:16 PM,Beeler #17,7281,1.250,,,,,,,,,,4.49,59.04,43.32,44.18,22.9
04/22/2024,01:00:22 PM,Beeler #17,7281,1.250,,,,,,,,,,4.53,58.53,41.48,43.40,19.6
04/22/2024,01:16:37 PM,Beeler #17,7281,1.250,1151,,,,1892,1892,5111,Static,48.4,,,,,
04/23/2024,10:40:40 AM,Beeler #17,7281,1.250,,,,,,,,,,4.50,58.16,43.60,43.99,21.5
04/23/2024,10:55:03 AM,Beeler #17,7281,1.250,1161,,,168.0,394,1667,5337,Producing,54.0,,,,,
05/22/2024,02:02:03 PM,Beeler #17,7281,1.250,,,,,,,,,,5.62,59.00,41.48,43.71,27.3
05/22/2024,02:04:42 PM,Beeler #17,7281,1.250,1151,,,172.9,394,1514,5491,Producing,42.0,,,,,
04/24/2024,11:36:18 AM,Beeler Ranch #1,6997,1.500,,,,,,,,,,5.39,101.82,84.48,93.93,77.0
04/24/2024,11:39:40 AM,Beeler Ranch #1,6997,1.500,1220,,,1079.1,2949,3248,3585,Producing,26.7,,,,,
04/30/2024,08:20:23 AM,Beeler Ranch #1,6997,1.500,1211,,,,2630,2630,4202,Static,29.3,,,,,
04/30/2024,12:09:36 PM,Beeler Ranch #1,6997,1.500,1202,,,,2613,2613,4220,Static,29.7,,,,,
04/30/2024,12:16:33 PM,Beeler Ranch #1,6997,1.500,,,,,,,,,,5.94,123.00,94.49,96.77,87.0
06/10/2024,04:03:32 PM,Beeler Unit F -19H,0,0.000,1112,,,,,,5868,Producing,28.8,,,,,
03/28/2024,04:51:28 PM,Booth Beeler #9 RE,5716,0.000,1120,,,121.9,55,69,5647,Producing,290.3,,,,,
03/28/2024,04:51:28 PM,
03/28/2024,04:51:28 PM,
06/11/2024,11:50:03 AM,Booth Beeler #9 RE,5716,0.000,1124,,,132.8,56,61,5655,Producing,291.5,,,,,
10/03/2024,01:53:48 PM,Bruce Weaver #1,6845,1.250,1139,,,105.1,232,867,5914,Producing,19.2,,,,,
10/03/2024,01:56:36 PM,Bruce Weaver #1,6845,1.250,,,,,,,,,,4.65,84.00,72.78,74.34,66.0
10/16/2024,02:28:10 PM,Bruce Weaver #1,6845,1.250,1128,,,123.4,280,866,5914,Producing,18.7,,,,,
03/05/2024,03:34:49 PM,Bruce Weaver #2 RE,5448,2.000,,,,,,,,,,6.47,125.21,97.73,113.71,81.4
03/05/2024,03:34:49 PM,
03/05/2024,03:37:48 PM,Bruce Weaver #2 RE,5448,2.000,1137,,,324.1,630,1821,3626,Producing,27.7,,,,,
03/08/2024,08:16:34 AM,Bruce Weaver #2 RE,5448,2.000,,,,,,,,,,5.47,124.47,107.06,111.91,102.5
03/08/2024,08:17:44 AM,Bruce Weaver #2 RE,5448,2.000,1109,,,644.0,1315,1599,3848,Producing,18.9,,,,,
03/08/2024,08:26:36 AM,Bruce Weaver #2 RE,5448,2.000,1105,,,250.8,444,1580,3867,Producing,20.1,,,,,
03/26/2024,09:14:17 AM,Bruce Weaver #2 RE,5448,2.000,,,,,,,,,,6.88,125.63,44.60,124.68,0.1
03/26/2024,09:28:55 AM,Bruce Weaver #2 RE,5448,2.000,,,,,,,,,,6.76,124.82,46.28,122.64,0.1
03/26/2024,09:30:55 AM,Bruce Weaver #2 RE,5448,2.000,1104,,,234.1,415,1677,3770,Producing,22.1,,,,,
03/26/2024,10:44:40 AM,Bruce Weaver #2 RE,5448,2.000,1098,,,600.5,1111,1178,4269,Producing,17.6,,,,,
03/26/2024,10:52:07 AM,Bruce Weaver #2 RE,5448,2.000,,,,,,,,,,5.67,126.06,111.10,115.67,106.6
03/26/2024,11:02:07 AM,Bruce Weaver #2 RE,5448,2.000,1095,,,597.5,1096,1151,4297,Producing,17.4,,,,,
03/26/2024,11:43:21 AM,Bruce Weaver #2 RE,5448,2.000,,,,,,,,,,5.55,125.65,111.44,117.15,104.7
03/26/2024,11:47:43 AM,Bruce Weaver #2 RE,5448,2.000,1095,,,501.3,880,1066,4381,Producing,20.8,,,,,
03/26/2024,04:39:15 PM,Bruce Weaver #2 RE,5448,2.000,,,,,,,,,,5.70,125.21,53.80,105.47,36.1
03/26/2024,04:43:33 PM,Bruce Weaver #2 RE,5448,2.000,1100,,,556.9,1111,1541,3906,Producing,22.1,,,,,
03/26/2024,05:01:21 PM,Bruce Weaver #2 RE,5448,2.000,1094,,,734.5,1492,1492,3956,Producing,22.1,,,,,
03/26/2024,05:18:34 PM,Bruce Weaver #2 RE,5448,2.000,,,,,,,,,,6.40,125.04,97.44,102.26,93.8
03/27/2024,04:55:59 PM,Bruce Weaver #2 RE,5448,2.000,,,,,,,,,,6.59,125.24,97.09,112.74,90.7
03/27/2024,04:58:01 PM,Bruce Weaver #2 RE,5448,2.000,1096,,,377.0,701,1424,4023,Producing,22.8,,,,,
03/28/2024,12:44:02 PM,Bruce Weaver #2 RE,5448,2.000,,,,,,,,,,6.83,124.79,102.28,105.56,99.0
03/28/2024,12:45:44 PM,Bruce Weaver #2 RE,5448,2.000,1086,,,316.4,430,665,4783,Producing,25.3,,,,,
03/30/2024,10:15:05 AM,Bruce Weaver #2 RE,5448,2.000,,,,,,,,,,7.41,125.45,101.17,107.29,97.5
03/30/2024,10:16:51 AM,Bruce Weaver #2 RE,5448,2.000,1140,,,254.1,487,2033,3414,Producing,33.8,,,,,
03/30/2024,10:49:03 AM,Bruce Weaver #2 RE,5448,2.000,1130,,,247.7,415,1316,4131,Producing,22.3,,,,,
03/31/2024,10:24:28 AM,Bruce Weaver #2 RE,5448,2.000,,,,,,,,,,7.14,125.04,106.07,109.49,102.8
04/23/2024,11:22:38 AM,Bruce Weaver #2 RE,5448,2.000,,,,,,,,,,6.79,124.61,44.61,115.73,30.5
04/23/2024,11:23:25 AM,Bruce Weaver #2 RE,5448,2.000,1110,,,241.9,430,1578,3869,Producing,33.6,,,,,
04/23/2024,01:05:26 PM,Bruce Weaver #2 RE,5448,2.000,1095,,,414.8,522,522,4926,Producing,25.8,,,,,
04/23/2024,01:10:00 PM,Bruce Weaver #2 RE,5448,2.000,,,,,,,,,,6.62,125.39,99.21,106.54,95.2
04/24/2024,01:26:50 PM,Bruce Weaver #2 RE,5448,2.000,,,,,,,,,,6.79,124.74,31.64,110.37,0.1
04/24/2024,01:28:14 PM,Bruce Weaver #2 RE,5448,2.000,1156,,,177.0,265,1116,4331,Producing,51.0,,,,,
04/24/2024,02:33:56 PM,Bruce Weaver #2 RE,5448,2.000,1130,,,269.3,251,345,5103,Producing,39.3,,,,,
04/24/2024,02:37:15 PM,Bruce Weaver #2 RE,5448,2.000,,,,,,,,,,6.55,124.46,95.32,106.57,91.0
04/25/2024,10:42:56 AM,Bruce Weaver #2 RE,5448,2.000,,,,,,,,,,6.27,125.40,45.49,101.75,34.7
04/25/2024,10:44:56 AM,Bruce Weaver #2 RE,5448,2.000,1129,,,316.2,332,398,5050,Producing,45.7,,,,,
04/25/2024,10:55:12 AM,Bruce Weaver #2 RE,5448,2.000,,,,,,,,,,4.97,124.04,61.55,108.00,51.8
04/25/2024,10:57:01 AM,Bruce Weaver #2 RE,5448,2.000,1125,,,293.2,261,313,5135,Producing,42.1,,,,,
05/01/2024,12:09:39 PM,Bruce Weaver #2 RE,6368,1.500,1107,,,461.2,1036,1231,5017,Producing,28.6,,,,,
05/01/2024,12:32:38 PM,Bruce Weaver #2 RE,6368,1.500,1110,,,420.7,918,1107,5141,Producing,30.3,,,,,
05/01/2024,12:37:03 PM,Bruce Weaver #2 RE,6368,1.500,,,,,,,,,,5.90,126.39,102.45,104.48,95.2
05/22/2024,01:29:21 PM,Bruce Weaver #2 RE,6368,1.500,,,,,,,,,,6.23,125.24,108.41,111.75,103.0
05/22/2024,01:30:44 PM,Bruce Weaver #2 RE,6368,1.500,1097,,,503.7,1147,1266,4982,Producing,33.1,,,,,
06/12/2024,02:01:52 PM,Bruce Weaver #2 RE,6368,1.500,,,,,,,,,,7.31,125.12,110.13,115.06,105.2
06/12/2024,02:03:44 PM,Bruce Weaver #2 RE,6368,1.500,1066,,,165.9,341,1326,4922,Producing,41.8,,,,,
07/24/2024,10:54:58 AM,Bruce Weaver #2 RE,6368,1.500,,,,,,,,,,6.73,124.10,101.30,110.47,94.6
07/24/2024,10:58:01 AM,Bruce Weaver #2 RE,6368,1.500,1098,,,59.0,35,152,6159,Producing,65.0,,,,,
07/24/2024,11:00:39 AM,Bruce Weaver #2 RE,6368,1.500,1102,,,110.4,193,817,5431,Producing,69.8,,,,,
08/22/2024,04:47:19 PM,Bruce Weaver #2 RE,6368,1.500,,,,,,,,,,7.52,125.93,84.54,113.04,78.8
08/22/2024,04:49:31 PM,Bruce Weaver #2 RE,6368,1.500,1039,,,70.1,58,219,6075,Producing,63.5,,,,,
10/03/2024,02:04:47 PM,Bruce Weaver #2 RE,6368,1.500,,,,,,,,,,6.88,125.86,26.06,108.50,0.1
10/03/2024,02:06:39 PM,Bruce Weaver #2 RE,6368,1.500,1030,,,70.4,,,6493,Producing,38.2,,,,,
10/03/2024,02:07:57 PM,Bruce Weaver #2 RE,6368,1.500,,,,,,,,,,6.89,126.41,25.88,107.60,0.1
10/16/2024,02:52:10 PM,
10/16/2024,02:52:10 PM,Bruce Weaver #2 RE,6368,1.500,,,,,,,,,,5.84,126.51,100.63,109.32,94.2
10/16/2024,03:04:57 PM,Bruce Weaver #2 RE,6368,1.500,1046,,,86.6,88,304,5972,Producing,36.4,,,,,
04/02/2024,03:05:34 PM,Burns Ranch #2,5385,0.000,1052,,,,,,5938,Producing,302.7,,,,,
04/02/2024,03:29:38 PM,Burns Ranch #2,5385,0.000,1052,,,,,,179,Producing,304.7,,,,,
04/02/2024,04:09:31 PM,Burns Ranch #2,5385,0.000,1052,,,,,,179,Producing,304.9,,,,,
04/02/2024,04:42:48 PM,Burns Ranch #2,5385,0.000,1051,,,,5385,5385,5776,Static,306.6,,,,,
07/26/2024,07:58:37 AM,Burns Ranch #2,5903,0.000,,,,,,,,,,,,,,
08/20/2024,06:11:00 PM,Burns Ranch #2,5903,0.000,,,,,,,,,,,,,,
10/30/2024,11:22:27 AM,Burns Ranch #2,6510,1.250,1248,,,,977,977,5444,Static,12.0,,,,,
12/05/2024,12:56:06 PM,Burns Ranch #2,6510,1.250,,,,,,,,,,5.33,125.85,111.17,113.20,103.2
12/05/2024,01:09:59 PM,Burns Ranch #2,6510,1.250,1138,,,,2245,2245,4175,Static,67.7,,,,,
08/14/2024,05:25:07 PM,Cannan #1,6391,1.250,,,,,,,,,,4.99,110.65,91.06,97.80,80.1
08/14/2024,05:31:53 PM,Cannan #1,6391,1.250,1055,,,267.4,163,626,5299,Producing,23.8,,,,,
08/14/2024,05:33:50 PM,Cannan #1,6391,1.250,,,,,,,,,,4.95,125.30,91.42,96.26,80.1
03/04/2024,05:10:43 PM,Cenizo #1,6428,1.250,,,,,,,,,,3.85,71.95,1.40,3.61,-0.0
03/04/2024,05:12:46 PM,Cenizo #1,6428,1.250,1087,,,102.0,42,50,6350,Producing,22.9,,,,,
03/06/2024,04:57:13 PM,
03/06/2024,04:57:13 PM,Cenizo #1,6345,1.250,1002,,,105.9,,,6424,Producing,1.4,,,,,
03/06/2024,04:59:43 PM,Cenizo #1,6345,1.250,,,,,,,,,,3.80,73.16,54.28,55.56,42.8
03/08/2024,08:49:56 AM,Cenizo #1,6345,1.250,,,,,,,,,,3.83,72.95,56.68,59.81,49.7
03/08/2024,08:52:44 AM,Cenizo #1,6345,1.250,942,,,217.9,275,275,6020,Producing,1.2,,,,,
03/26/2024,01:59:17 PM,Cenizo #1,6345,1.250,,,,,,,,,,3.82,72.94,58.91,61.19,50.0
03/26/2024,02:01:50 PM,Cenizo #1,6345,1.250,1057,,,90.9,10,16,6322,Producing,9.4,,,,,
04/02/2024,08:57:25 AM,Cenizo #1,6345,1.250,1076,,,117.0,,,6359,Producing,19.2,,,,,
04/02/2024,09:00:00 AM,Cenizo #1,6345,1.250,,,,,,,,,,3.83,72.89,53.60,60.00,44.6
04/02/2024,09:08:02 AM,Cenizo #1,6345,1.250,,,,,,,,,,,,,,
05/22/2024,03:18:01 PM,Cenizo #1,6345,1.250,,,,,,,,,,3.96,72.13,41.63,61.58,34.1
05/22/2024,03:19:55 PM,Cenizo #1,6345,1.250,1036,,,117.7,35,43,6287,Producing,5.3,,,,,
06/12/2024,12:19:57 PM,Cenizo #1,6345,1.250,1034,,,67.5,18,50,6278,Producing,4.3,,,,,
06/12/2024,12:20:44 PM,Cenizo #1,6345,1.250,,,,,,,,,,4.75,72.58,32.72,57.06,25.7
07/25/2024,02:52:51 PM,Cenizo #1,6345,1.250,1086,,,78.1,,,6408,Producing,20.5,,,,,
07/25/2024,02:58:17 PM,Cenizo #1,6345,1.250,,,,,,,,,,4.13,73.36,38.10,56.52,30.9
08/21/2024,01:38:18 PM,Cenizo #1,6345,1.250,1051,,,124.6,5,5,6338,Producing,5.1,,,,,
10/03/2024,03:41:33 PM,Cenizo #1,6345,1.250,1052,,,57.9,6,19,6318,Producing,10.2,,,,,
03/04/2024,05:42:19 PM,Chad #1,7038,1.250,,,,,,,,,,4.77,103.02,70.40,77.38,52.4
03/04/2024,05:46:56 PM,Chad #1,7038,1.250,976,,,147.3,224,539,6415,Producing,7.4,,,,,
03/07/2024,09:05:28 AM,Chad #1,7038,1.250,,,,,,,,,,4.67,102.36,67.09,76.80,48.5
03/07/2024,09:08:22 AM,Chad #1,7038,1.250,1026,,,94.6,95,290,6668,Producing,11.3,,,,,
03/26/2024,12:15:27 PM,Chad #1,7038,1.250,,,,,,,,,,,,,,
03/26/2024,12:19:31 PM,Chad #1,7038,1.250,,,,,,,,,,4.70,102.28,76.17,86.62,59.5
03/26/2024,12:22:12 PM,Chad #1,7038,1.250,1004,,,170.5,217,329,6627,Producing,9.4,,,,,
04/26/2024,01:58:36 PM,Chad #1,7038,1.250,,,,,,,,,,3.83,102.21,78.66,80.65,59.6
04/26/2024,02:06:00 PM,Chad #1,7038,1.250,1004,,,170.4,213,313,6644,Producing,14.4,,,,,
05/22/2024,02:40:01 PM,Chad #1,7038,1.250,,,,,,,,,,4.02,102.44,26.02,79.91,7.4
05/22/2024,02:44:27 PM,Chad #1,7038,1.250,1015,,,180.2,155,155,6817,Producing,33.6,,,,,
06/13/2024,02:26:22 PM,Chad #1,7038,1.250,,,,,,,,,,3.62,101.96,77.65,78.98,57.5
06/13/2024,02:28:24 PM,Chad #1,7038,1.250,1023,,,211.4,239,239,6723,Producing,18.0,,,,,
07/25/2024,08:15:18 AM,Chad #1,7038,1.250,,,,,,,,,,3.51,102.19,77.50,79.01,55.8
07/25/2024,08:17:23 AM,Chad #1,7038,1.250,1027,,,210.1,237,237,6725,Producing,20.7,,,,,
06/12/2024,03:32:51 PM,Charles B #1,6681,1.250,1151,,,105.3,261,974,5588,Producing,35.8,,,,,
06/12/2024,03:39:33 PM,Charles B #1,6681,1.250,,,,,,,,,,5.71,84.27,67.51,69.68,60.7
04/11/2024,02:32:26 PM,CMWW #1,5956,1.500,,,,,,,,,,5.39,100.33,84.46,89.26,78.5
04/11/2024,02:51:06 PM,CMWW #1,5956,1.500,1180,,,1372.8,650,3132,2824,Producing,33.6,,,,,
04/16/2024,01:31:45 PM,CMWW #1,5956,1.500,,,,,,,,,,5.41,99.90,58.40,94.26,24.6
04/16/2024,01:46:13 PM,CMWW #1,5956,1.500,1152,,,1334.4,736,3938,2019,Producing,70.9,,,,,
04/27/2024,02:31:08 PM,CMWW #1,5956,1.500,,,,,,,,,,5.73,100.44,61.11,95.15,33.8
04/27/2024,02:32:41 PM,CMWW #1,5956,1.500,1164,,,1350.4,705,3603,2353,Producing,62.0,,,,,
04/27/2024,02:40:53 PM,CMWW #1,5956,1.500,,,,,,,,,,6.13,100.45,34.44,94.02,0.1
05/23/2024,03:53:23 PM,CMWW #1,5956,1.500,,,,,,,,,,5.39,99.87,54.25,94.50,26.4
05/23/2024,03:54:57 PM,CMWW #1,5956,1.500,1151,,,1280.6,497,2539,3417,Producing,62.5,,,,,
07/16/2024,02:39:27 PM,CMWW #1,5956,1.500,,,,,,,,,,4.96,99.87,86.68,90.14,80.3
07/16/2024,02:56:31 PM,CMWW #1,5956,1.500,1117,,,1189.7,84,389,5567,Producing,68.0,,,,,
