Well Name,PTN Well Name,Interest,Expire Date,Description,Page,Well Key
BERMUDA #1,,0.064175,1/31/2018,PRIMARY DECK,85,bermuda1
BERNICE #1,,0.047857,6/30/2018,PRIMARY DECK,4,bernice1
BETTY #1,,0.064175,12/6/2017,PRIMARY DECK,65,betty1
BIG SONNY #1,,0.0512185,3/26/2025,PRIMARY REVISED,83,bigsonny1
BIRDIE ALEXANDER SWD,,0.135,12/31/2009,PRIMARY DECK,25,birdiealexanderswd
BLAC,,0.112405,12/31/2016,PRIMARY DECK,14,blac
BLACK STONE MINERALS,,0.08,11/1/2007,PRIMARY DECK,58,blackstoneminerals
BLACKMON #1,,0.0427833,3/26/2025,PRIMARY,81,blackmon1
BLAGRAVES #1,,0.1275,3/26/2025,PRIMARY DECK,4,blagraves1
BLAIR - TXL #1,,0.0233645,4/21/2019,PRIMARY AFTER D,84,blairtxl1
BLAIR - TXL #3,,0.0233645,3/26/2025,PRIMARY AFTER B,83,blairtxl3
BLAIR - TXL #4 SWD,,0.0336786,3/26/2025,PRIMARY AFTER I,84,blairtxl4swd
BLAIR - TXL NO 6,,0.0233645,3/26/2025,PRIMARY AFTER B,84,blairtxlno6
BLAIR TXL #7,,0.0623053,3/31/2010,PRIMARY DECK,84,blairtxl7
BLAIR TXL #7-2,,0.0283817,3/26/2025,PRIMARY AFTER B,83,blairtxl72
BLAIR TXL B NO 5,,0.0681666,12/30/2011,PRIMARY DECK,84,blairtxlbno5
BLUMBERG #1,,0.09,2/25/2013,PRIMARY DECK,32,blumberg1
BLUMBERG #2,,0.09,6/1/2013,PRIMARY DECK,33,blumberg2
BMMP #3,,0.1010388,5/11/2023,PRIMARY DECK,79,bmmp3
BMMP 1,,0.1008115,3/26/2025,PRIMARY DECK,79,bmmp1
BOND #1,,0.05134,3/26/2025,PRIMARY DECK W/,64,bond1
BOONE ESTATE #1,,0.0867208,3/7/2024,PRIMARY DECK,47,booneestate1
BOOTH 3RE,,0.02,5/10/2018,PRIMARY,74,booth3re
BOOTH BEELER 9RE,,0.05,3/26/2025,PRIMARY APO,74,boothbeeler9re
BOOTH LLOYD 5 RE DO,,0.05,10/1/2023,PRIMARY W EO,75,boothlloyd5redo
BOOTH UNIT 5RE,,0.02,3/26/2025,PRIMARY,74,booth5re
BOOTH W 2RE,,0.02,1/21/2021,PRIMARY,74,boothw2re
BOOTH WEAVER 1RE,,0.05,3/26/2025,PRIMARY W ENERG,74,boothweaver1re
BOSWELL #1,,0.07625,3/26/2025,PRIMARY,32,boswell1
BOTTING #1H,,0.07625,3/26/2025,PRIMARY DECK,32,botting1h
BOUGAINVILLEA 33 STA,,0.0162425,3/26/2025,PRIMARY AFTER V,37,bougainvillea33sta
BOWDLE #42 2,,0.02,2/28/2010,PRIMARY DECK,17,bowdle422
BOWM,,0.05134,4/30/2014,PRIMARY W/CHK,71,bowm
BOWMAN #1,,0.064175,5/1/2017,PRIMARY DECK,71,bowman1
BOWMAN #2,,0.064175,8/1/2012,PRIMARY DECK CM,71,bowman2
BOWMAN #3,,0.064175,9/30/2008,PRIMARY DECK,71,bowman3
BOWMAN #4,,0.064175,9/30/2008,PRIMARY DECK,71,bowman4
BOX #1,,0.0343978,3/26/2025,PRIMARY DECK,69,box1
BOYT #1,,0.08,8/1/2012,PRIMARY DECK,59,boyt1
BP FEE #1,,0.08,11/1/2007,PRIMARY DECK,58,bpfee1
BR3D,,0.0544642,1/1/2001,PRIMARY DECK,2,br3d
BRANTON #1,,0.0631011,3/26/2025,PRIMARY REVISED,23,branton1
BRANTON #2,,0.0678523,1/2/2019,PRIMARY REVISED,25,branton2
BRECO DYER #1,,0.05,5/31/2018,PRIMARY DECK,55,brecodyer1
BROTHERS HORIZON UNI,,0.0425547,3/26/2025,PRIMARY DECK HO,15,brothershorizonuni
BROWNSON HOME,,0.018125,8/31/2011,PRIMARY DECK,48,brownsonhome
BRUCE WEAVER 1RE,,0.07,3/26/2025,PRIMARY AFTER E,75,bruceweaver1re
BRUCE WEAVER 2RE,,0.068747,3/26/2025,PRIMARY AFTER E,75,bruceweaver2re
BRUCE WEAVER SALES P,,0.02,12/31/2020,PRIMARY,75,bruceweaversalesp
BRUMLEY #1,,0.110625,3/26/2025,PRIMARY DECK,5,brumley1
BRUMLEY #2,,0.110625,3/26/2025,PRIMARY DECK,6,brumley2
BRUMLEY #3,,0.110625,3/26/2025,PRIMARY DECK,6,brumley3
BRUMLEY #4,,0.110625,3/26/2025,PRIMARY DECK,6,brumley4
BRUMLEY #5,,0.110625,3/26/2025,PRIMARY DECK,6,brumley5
BRUMLEY SWD,,0.110625,3/26/2025,PRIMARY DECK,6,brumleyswd
BRYAN #1,,0.121875,1/23/2012,PRIMARY DECK,17,bryan1
BUDA,,0.0572807,3/26/2025,PRIMARY REVISED,22,buda
BULL,,0.110625,3/26/2025,PRIMARY DECK,5,bull
BULL258,,0.110625,3/26/2025,PRIMARY DECK,60,bull258
BULLARD #1,,0.0967969,12/1/2019,PRIMARY AFTER W,60,bullard1
BULLARD #5,,0.0967969,3/26/2025,PRIMARY AFTER W,60,bullard5
BULLARD #6,,0.0967969,3/26/2025,PRIMARY AFTER W,61,bullard6
BULLARD #7,,0.0967969,3/26/2025,PRIMARY AFTER W,61,bullard7
BULLARD #8,,0.0967969,3/26/2025,PRIMARY AFTER W,61,bullard8
BULLARD #9,,0.0967969,3/26/2025,PRIMARY AFTER W,61,bullard9
BUMP PO 36 STATE #1,,0.016667,2/19/2009,PRIMARY DECK,34,bumppo36state1
BUNDY,,0.07625,12/31/2012,PRIMARY DECK,60,bundy
BUNDY #1,,0.08625,11/1/2007,PRIMARY DECK,45,bundy1
BURGER #1,,0.1,12/31/2010,PRIMARY DECK,46,burger1
BURNS RANCH 2 #1,,0.0993469,3/26/2025,BPO PRIMARY,77,burnsranch21
BURNS RANCH GT #1,,0.1083261,3/26/2025,PRIMARY WO CNOO,77,burnsranchgt1
BURRISS #1,,0.085,7/1/2009,PRIMARY DECK,66,burriss1
CAMERON 22 ST #1,,0.0706229,5/31/2018,PRIMARY DECK,42,cameron22st1
CANNAN #1,,0.0399342,3/26/2025,APO PRIMARY DEC,19,cannan1
CARBAJAL-DIEBEL GAS,,0.0336124,8/3/2009,PRIMARY DECK-NO,53,carbajaldiebelgas
CAREY #1,,0.085,10/1/2014,PRIMARY DECK,65,carey1
CARL #1,,0.064175,3/31/2015,PRIMARY DECK,27,carl1
CAROLPICK #1,,0.064175,3/26/2025,PRIMARY DECK,81,carolpick1
CAROLYN #1,,0.0572807,3/26/2025,PRIMARY,24,carolyn1
CARPENTER #1,,0.08,10/17/2023,PRIMARY DECK,62,carpenter1
CARR,,0.05134,3/31/2013,PRIMARY W/CHK,64,carr
CAZA #1,,0.0335413,7/11/2014,PRIMARY DECK W/,22,caza1
CENIZO #1,,0.0572807,9/30/2023,PRIMARY DECK,23,cenizo1
CHAD #1,,0.064175,9/30/2023,PRIMARY,82,chad1
CHAP,,0.064175,8/31/2017,PRIMARY DECK,76,chap
CHARLES B #1,,0.0416005,3/26/2025,PRIMARY,61,charlesb1
CHES,,0.0427835,12/31/2015,PRIMARY W/ OOGC,82,ches
CHEVRON MOORES ORCHA,,0.0725903,5/31/2018,APO PRIMARY DEC,49,chevronmooresorcha
CHIT,,0.064175,12/31/2015,PRIMARY DECK,4,chit
CHRISTOPHER #1,,0.1,8/8/2021,PRIMARY,48,christopher1
CIRCLE T #1,,0.0429972,1/25/2022,PRIMARY DECK,68,circlet1
CLAYTON #1,,0.064175,1/1/2013,PRIMARY DECK,59,clayton1
COCKBURN STATE B#2,,0.025,5/31/2018,PRIMARY DECK,34,cockburnstateb2
COLE,,0.0517955,9/30/2010,PRIMARY DECK,3,cole
COLETO,,0.0760745,9/30/2013,PRIMARY DECK,63,coleto
COLLATT ESTATE #2,,0.0085562,9/1/2008,PRIMARY DECK,33,collattestate2
CONNER ODOM UNIT #1,,0.103846,6/27/2007,PRIMARY DECK,12,connerodom1
CONNER ODOM UNIT REE,,0.103846,12/31/2020,PRIMARY,12,connerodomree
COOPER 24 FED #1,,0.066354,5/31/2018,PRIMARY DECK,37,cooper24fed1
COOPER 24 FED #2 SWD,,0.0714819,3/26/2025,PRIMARY AFTER V,38,cooper24fed2swd
CORNETT #1 SWD,,0.05134,1/22/2019,PRIMARY DECK CO,80,cornett1swd
CR 101,,0.1011834,3/26/2025,PRIMARY DECK,78,cr101
CR 1148H (CR GR #1),,0.0961242,4/14/2023,PRIMARY DECK,79,cr1148h(crgr1)
CR 201,,0.1008115,3/26/2025,PRIMARY DECK,78,cr201
CR 201 DO NOT USE,,0.1008115,1/1/2020,PRIMARY DECK,78,cr201donotuse
CR 301,,0.1008115,3/26/2025,PRIMARY DECK,78,cr301
CR 302,,0.1008115,3/26/2025,PRIMARY,79,cr302
CR 401,,0.1011834,3/26/2025,PRIMARY DECK,79,cr401
CR 447 (CR #3),,0.1068462,4/27/2023,PRIMARY DECK,79,cr447(cr3)
CR 501,,0.1008115,3/26/2025,PRIMARY DECK,79,cr501
CR 939H (CR GR #2),,0.0961242,3/26/2025,PRIMARY DECK,79,cr939h(crgr2)
CRAWFORD #1,,0.085,6/30/2011,PRIMARY DECK,66,crawford1
CRDEEP,,0.064175,3/26/2025,PRIMARY,65,crdeep
CRIM,,0.1,3/26/2025,PRIMARY DECK,67,crim
CROMER #1,,0.05,5/22/2008,PRIMARY DECK,55,cromer1
CROMER #2,,0.0514551,5/7/2008,PRIMARY DECK,55,cromer2
CROSS S#1,,0.05134,3/26/2025,PRIMARY DECK,8,crosss1
CRYS,,0.05134,3/26/2025,PRIMARY W/CHK,7,crys
CT #1 (INACTIVE),,0.0429972,6/30/2013,PRIMARY DECK,70,ct1(inactive)
DALE #1,,0.0501556,3/26/2025,PRIMARY,81,dale1
DAVI,,0.1125,3/26/2025,PRIMARY,67,davi
DAVID #1,,0.085,6/30/2011,PRIMARY DECK,65,david1
DAVIS #1,,0.1125,3/26/2025,PRIMARY,67,davis1
DAVIS #2,,0.1125,7/14/2020,PRIMARY,67,davis2
DAVIS #3,,0.1125,3/26/2025,PRIMARY,67,davis3
DAVIS 44 #1,,0.0765,5/22/2008,PRIMARY DECK,63,davis441
DAVIS ET AL,,0.1125,3/23/2015,PRIMARY DECK,17,davisetal
DEER TROT #1 (VX7),,0.085,4/1/2009,PRIMARY DECK,66,deertrot1(vx7)
DENMAN #1,,0.0399342,8/1/2012,APO PRIMARY,20,denman1
DIAL #1,,0.055508,11/30/2022,PRIMARY DECK,22,dial1
DIAL #1 ST,,0.050971,3/26/2025,PRIMARY DECK,25,dial1st
DIXI,,0.05,1/31/2005,PRIMARY DECK,85,dixi
DIXONDALE #1,,0.1003319,3/26/2025,BPO PRIMARY REV,76,dixondale1
DMZB,,0.1008115,6/30/2023,PRIMARY DECK,78,dmzb
DODD UNIT NO 1,,0.06625,5/1/2012,PRIMARY DECK,7,doddno1
DRINKARD #1,,0.0999537,3/26/2025,PRIMARY,75,drinkard1
DUNCAN 32 ST #1,,0.00654,5/31/2018,PRIMARY DECK,34,duncan32st1
DUNKLE #1,,0.0319474,10/22/2013,PRIMARY DECK,22,dunkle1
DUNKLE #2,,0.0604875,1/1/2012,PRIMARY DECK,22,dunkle2
DUNLAP #1,,0.05134,3/26/2025,PRIMARY DECK,72,dunlap1
DYER #1,,0.05,5/31/2018,PRIMARY DECK,56,dyer1
DYER #10,,0.0528353,5/31/2018,PRIMARY DECK,61,dyer10
DYER #2 SWD,,0.05,5/31/2018,PRIMARY DECK,56,dyer2swd
DYER #7,,0.0528353,5/31/2018,PRIMARY DECK,57,dyer7
DYER #8,,0.05,5/1/2009,PRIMARY DECK,57,dyer8
DYER #E6,,0.05,7/20/2010,PRIMARY DECK,56,dyere6
DYER A #2,,0.05,5/31/2018,PRIMARY DECK,56,dyera2
DYER DEHYDRATION SYS,,0.05,5/31/2018,PRIMARY DECK,56,dyerdehydrationsys
DYESS #1,,0.05134,3/26/2025,PRIMARY DECK,79,dyess1
EAST LOTT #1,,0.1210831,5/2/2022,PRIMARY DECK,15,eastlott1
EAST LOTT #2X,,0.1210831,9/10/2008,PRIMARY DECK,15,eastlott2x
EAST LOTT #3X,,0.1210831,5/9/2022,PRIMARY DECK,15,eastlott3x
EASTC,,0.1,3/26/2025,PRIMARY,77,eastc
EASTH,,0.1275,12/31/2016,PRIMARY DECK,4,easth
EASTP,,0.05134,4/1/2010,PRIMARY W/CHK,79,eastp
EDWARDS 12 #1,,0.084194,3/26/2025,PRIMARY AFTER D,2,edwards121
EE 12 #1,,0.084194,3/26/2025,PRIMARY AFTER D,3,ee121
ELAINE,,0.020536,6/30/2010,PRIMARY W/CHK,76,elaine
ELAINE #1,,0.0343978,2/28/2013,PRIMARY DECK,70,elaine1
EPDEEP,,0.064175,3/26/2025,PRIMARY,81,epdeep
ETTA #1,,0.1,7/1/2010,PRIMARY DECK,66,etta1
EVERGREEN #1,,0.0595438,3/26/2025,PRIMARY DECK,70,evergreen1
FALKENBERG B2 2H,,0.0125,1/1/2001,PRIMARY DECK,44,falkenbergb22h
FALKENBERG B4,,0.0125,1/1/2001,PRIMARY DECK,44,falkenbergb4
FATHEREE #1,,0.1211567,3/26/2025,PRIMARY DECK,75,fatheree1
FED COM #2,,0.03125,9/1/2008,PRIMARY DECK,13,fedcom2
FGN #1,,0.0472207,8/1/2012,PRIMARY DECK,63,fgn1
FGP #1,,0.0399342,2/8/2013,PRIMARY DECK,21,fgp1
FISHBECK #1,,0.08,7/16/2009,PRIMARY DECK,62,fishbeck1
FLOWER #1,,0.0505334,3/26/2025,PRIMARY DECK,80,flower1
FLYING G #1,,0.0429972,4/8/2014,PRIMARY DECK,68,flyingg1
FMMP 1,,0.1008115,5/18/2023,PRIMARY DECK,79,fmmp1
FOOTJOY STATE COM #1,,0.009539,9/1/2008,PRIMARY DECK,26,footjoystatecom1
FORD,,0.095,1/1/2013,PRIMARY DECK,60,ford
FREEWAY FED 1,,0.01875,9/1/2008,PRIMARY DECK,6,freewayfed1
FULLER #1,,0.08,6/30/2014,PRIMARY DECK,78,fuller1
GACH 31 STATE #1,,0.027314,5/31/2018,PRIMARY DECK,34,gach31state1
GACH 31 STATE #2,,0.0286019,5/31/2018,PRIMARY DECK,34,gach31state2
GAIL #1,,0.064175,3/26/2025,PRIMARY,81,gail1
GATLIN 1H,,0.0158491,10/1/2014,PRIMARY REVISED,31,gatlin1h
GB#1,,0.085,9/5/2023,PRIMARY DECK,65,gb1
GEN MONTCALM 25 ST #,,0.0125,5/31/2016,PRIMARY DECK,37,genmontcalm25st
GEORGE FOUNDATION #1,,0.08,10/21/2012,PRIMARY DECK,78,georgefoundation1
GIL #1,,0.0343978,6/7/2018,PRIMARY DECK,69,gil1
GLAZE #1 UNIT,,0.1,10/1/2010,PRIMARY DECK,47,glaze1
GLEN,,0.1138211,10/1/2010,PRIMARY DECK,64,glen
GOLIAD,,0.07375,11/1/2007,PRIMARY DECK,59,goliad
GONZALES #1,,0.0655156,1/1/2017,PRIMARY,63,gonzales1
GRESSETT #1,,0.1275,11/1/2007,PRIMARY DECK,68,gressett1
GRIM1,,0.1275,11/1/2007,PRIMARY DECK,45,grim1
GRISSOM #1,,0.0656611,3/26/2025,PRIMARY DECK,8,grissom1
GRIZZLE UNIT #1,,0.0575505,2/1/2010,PRIMARY DECK,3,grizzle1
GUAD,,0.09,12/31/2013,PRIMARY DECK,32,guad
GUAM #1,,0.0320527,7/31/2008,PRIMARY DECK BP,58,guam1
GUILLIAMS 22 #1,,0.0765,12/22/2007,PRIMARY DECK,62,guilliams221
HABY #1,,0.0319474,3/26/2025,PRIMARY DECK,22,haby1
HAMNER LETTIE #1 APO,,0.0494,2/28/2007,PRIMARY DECK,17,hamnerlettie1apo
HAPPY,,0.0765,9/30/2008,PRIMARY DECK,62,happy
HAROLD #1,,0.05134,8/1/2013,PRIMARY DECK,65,harold1
HARPER #1,,0.064175,4/30/2009,PRIMARY DECK,71,harper1
HARR,,0.06625,5/31/2014,PRIMARY DECK,64,harr
