Well Name,Date,Oil,Gas,Water,Page Number
BEELER 2H,2025-01-28,0.00,8.80,0.00,4
BEELER 2H,2025-01-27,3.33,24.30,0.00,4
BEELER 2H,2025-01-26,1.67,3.50,0.00,4
BEELER 2H,2025-01-25,3.33,11.20,1.67,4
BEELER 2H,2025-01-24,0.00,18.10,0.00,4
BEELER 2H,2025-01-23,0.00,21.30,0.00,4
BEELER 2H,2025-01-22,2.08,12.30,3.33,4
BEELER 2H,2025-01-21,0.00,10.30,0.00,4
BEELER 2H,2025-01-20,0.00,14.80,0.00,4
BEELER 2H,2025-01-19,0.00,25.90,0.00,4
BEELER 2H,2025-01-18,0.00,32.00,0.00,4
BEELER 2H,2025-01-17,1.59,20.50,5.38,4
BEELER 2H,2025-01-16,0.00,11.00,0.00,5
BEELER 2H,2025-01-15,0.00,29.40,0.00,5
BEELER 2H,2025-01-14,0.00,27.70,0.00,5
BEELER 2H,2025-01-13,3.33,37.10,0.00,5
BEELER 2H,2025-01-12,3.33,26.70,0.00,5
BEELER 3H,2025-03-02,0.00,17.00,5.50,5
BEELER 3H,2025-03-01,0.00,19.10,8.25,5
BEELER 3H,2025-02-28,0.00,12.50,8.25,5
BEELER 3H,2025-02-27,2.75,21.90,0.00,5
BEELER 3H,2025-02-26,2.75,20.90,0.00,5
BEELER 3H,2025-02-25,5.50,20.40,0.00,5
BEELER 3H,2025-02-24,5.50,21.30,0.00,5
BEELER 3H,2025-02-23,8.25,19.80,0.00,5
BEELER 3H,2025-02-22,8.25,18.90,0.00,5
BEELER 3H,2025-02-21,2.75,19.40,0.00,5
BEELER 3H,2025-02-20,5.50,29.70,0.00,5
BEELER 3H,2025-02-19,2.75,6.30,0.00,5
BEELER 3H,2025-02-18,2.75,13.50,0.00,5
BEELER 3H,2025-02-17,0.00,20.80,0.00,5
BEELER 3H,2025-02-16,2.75,7.60,0.00,5
BEELER 3H,2025-02-15,0.00,4.60,0.00,5
BEELER 3H,2025-02-14,0.00,0.00,0.00,5
BEELER 3H,2025-02-13,0.00,0.00,0.00,5
BEELER 3H,2025-02-12,0.00,9.20,0.00,5
BEELER 3H,2025-02-11,0.00,8.20,0.00,6
BEELER 3H,2025-02-10,0.00,11.50,5.50,6
BEELER 3H,2025-02-09,5.50,9.90,0.00,6
BEELER 3H,2025-02-08,0.00,14.80,0.00,6
BEELER 3H,2025-02-07,0.00,14.90,0.00,6
BEELER 3H,2025-02-06,0.00,15.20,0.00,6
BEELER 3H,2025-02-05,0.00,14.70,0.00,6
BEELER 3H,2025-02-04,-1.95,14.70,0.19,6
BEELER 3H,2025-02-03,0.00,15.20,0.00,6
BEELER 3H,2025-02-02,0.00,14.70,0.00,6
BEELER 3H,2025-01-31,2.75,14.40,0.00,6
BEELER 3H,2025-01-30,2.75,15.80,0.00,6
BEELER 3H,2025-01-29,5.50,16.70,0.00,6
BEELER 3H,2025-01-28,2.75,10.60,0.00,6
BEELER 3H,2025-01-27,2.75,16.00,0.00,6
BEELER 3H,2025-01-26,5.50,11.20,0.00,6
BEELER 3H,2025-01-25,2.75,15.50,0.00,6
BEELER 3H,2025-01-24,2.75,14.50,0.00,6
BEELER 3H,2025-01-23,2.75,16.70,16.50,6
BEELER 3H,2025-01-22,8.25,18.50,0.00,6
BEELER 3H,2025-01-21,0.00,13.30,8.25,6
BEELER 3H,2025-01-20,0.00,17.00,2.75,6
BEELER 3H,2025-01-19,0.00,18.00,8.25,6
BEELER 3H,2025-01-18,5.50,25.90,0.00,6
BEELER 3H,2025-01-17,2.75,11.00,0.00,6
BEELER 3H,2025-01-16,0.00,6.20,0.00,6
BEELER 3H,2025-01-15,0.00,6.70,0.00,7
BEELER 3H,2025-01-14,2.75,17.10,0.00,7
BEELER 3H,2025-01-13,2.75,13.10,0.00,7
BEELER 3H,2025-01-12,0.00,21.00,0.00,7
BEELER 4H,2025-03-02,2.75,17.40,0.00,7
BEELER 4H,2025-03-01,2.75,20.50,11.00,7
BEELER 4H,2025-02-28,2.75,30.10,2.75,7
BEELER 4H,2025-02-27,2.75,28.70,0.00,7
BEELER 4H,2025-02-26,0.00,28.10,0.00,7
BEELER 4H,2025-02-25,2.75,33.70,2.75,7
BEELER 4H,2025-02-24,5.50,36.20,5.50,7
BEELER 4H,2025-02-23,5.50,35.80,2.75,7
BEELER 4H,2025-02-22,5.50,35.50,0.00,7
BEELER 4H,2025-02-21,5.50,30.00,11.00,7
BEELER 4H,2025-02-20,5.50,36.30,5.50,7
BEELER 4H,2025-02-19,0.00,33.20,5.50,7
BEELER 4H,2025-02-18,2.75,27.80,2.75,7
BEELER 4H,2025-02-17,8.25,39.10,5.50,7
BEELER 4H,2025-02-16,2.75,39.10,0.00,7
BEELER 4H,2025-02-15,0.00,25.80,0.00,7
BEELER 4H,2025-02-14,5.50,37.90,0.00,7
BEELER 4H,2025-02-13,5.50,33.20,0.00,7
BEELER 4H,2025-02-12,5.50,45.40,5.50,7
BEELER 4H,2025-02-11,2.75,24.00,8.25,7
BEELER 4H,2025-02-10,2.75,26.10,8.25,8
BEELER 4H,2025-02-09,0.00,28.60,0.00,8
BEELER 4H,2025-02-08,5.50,0.00,13.75,8
BEELER 4H,2025-02-07,8.25,0.00,19.25,8
BEELER 4H,2025-02-06,8.25,0.00,19.25,8
BEELER 4H,2025-02-05,-1.37,6.40,0.19,8
BEELER 4H,2025-02-04,5.50,38.90,0.00,8
BEELER 4H,2025-02-03,8.25,40.40,2.75,8
BEELER 4H,2025-02-02,8.25,38.60,0.00,8
BEELER 4H,2025-01-31,2.75,36.90,0.00,8
BEELER 4H,2025-01-30,2.75,31.50,0.00,8
BEELER 4H,2025-01-29,2.75,28.10,0.00,8
BEELER 4H,2025-01-28,5.50,33.30,0.00,8
BEELER 4H,2025-01-27,5.50,39.00,0.00,8
BEELER 4H,2025-01-26,8.25,40.80,0.00,8
BEELER 4H,2025-01-25,11.00,39.20,0.00,8
BEELER 4H,2025-01-24,5.50,39.60,0.00,8
BEELER 4H,2025-01-23,8.25,37.20,0.00,8
BEELER 4H,2025-01-22,5.50,42.30,0.00,8
BEELER 4H,2025-01-21,0.00,23.70,0.00,8
BEELER 4H,2025-01-20,5.50,48.00,0.00,8
BEELER 4H,2025-01-19,16.50,23.80,0.00,8
BEELER 4H,2025-01-18,0.00,14.30,0.00,8
BEELER 4H,2025-01-17,0.00,11.70,0.00,8
BEELER 4H,2025-01-16,0.00,12.40,0.00,8
BEELER 4H,2025-01-15,0.00,22.70,0.00,8
BEELER 4H,2025-01-14,0.00,39.70,0.00,9
BEELER 4H,2025-01-13,0.00,20.50,0.00,9
BEELER 4H,2025-01-12,0.00,20.20,0.00,9
BEELER 5H,2025-03-02,0.00,2.00,0.00,9
BEELER 5H,2025-03-01,0.00,3.10,0.00,9
BEELER 5H,2025-02-28,0.00,6.50,0.00,9
BEELER 5H,2025-02-27,0.00,7.70,0.00,9
BEELER 5H,2025-02-26,0.00,5.00,0.00,9
BEELER 5H,2025-02-25,0.00,4.40,0.00,9
BEELER 5H,2025-02-24,0.00,4.20,0.00,9
BEELER 5H,2025-02-23,0.00,5.50,0.00,9
BEELER 5H,2025-02-22,0.00,1.40,0.00,9
BEELER 5H,2025-02-21,0.00,1.80,0.00,9
BEELER 5H,2025-02-20,0.00,4.10,0.00,9
BEELER 5H,2025-02-19,0.00,6.00,0.00,9
BEELER 5H,2025-02-18,0.00,7.20,0.00,9
BEELER 5H,2025-02-17,0.00,11.40,0.00,9
BEELER 5H,2025-02-16,0.00,11.40,0.00,9
BEELER 5H,2025-02-15,0.00,9.80,0.00,9
BEELER 5H,2025-02-14,0.00,4.70,0.00,9
BEELER 5H,2025-02-13,0.00,2.40,0.00,9
BEELER 5H,2025-02-12,0.00,8.20,0.00,9
BEELER 5H,2025-02-11,0.00,7.60,0.00,9
BEELER 5H,2025-02-10,0.00,13.20,0.00,9
BEELER 5H,2025-02-09,0.00,23.80,0.00,10
BEELER 5H,2025-02-08,0.00,1.50,0.00,10
BEELER 5H,2025-02-07,0.00,3.80,0.00,10
BEELER 5H,2025-02-06,0.00,9.70,0.00,10
BEELER 5H,2025-02-05,0.00,8.50,0.00,10
BEELER 5H,2025-02-04,0.00,8.10,0.00,10
BEELER 5H,2025-02-03,0.00,1.70,0.00,10
BEELER 5H,2025-02-02,0.00,4.10,0.00,10
BEELER 5H,2025-01-31,0.00,8.00,0.00,10
BEELER 5H,2025-01-30,0.00,12.40,0.00,10
BEELER 5H,2025-01-29,0.00,6.00,0.00,10
BEELER 5H,2025-01-28,0.00,1.70,0.00,10
BEELER 5H,2025-01-27,0.00,8.60,0.00,10
BEELER 5H,2025-01-26,0.00,0.00,0.00,10
BEELER 5H,2025-01-25,0.00,1.00,0.00,10
BEELER 5H,2025-01-24,0.00,4.30,0.00,10
BEELER 5H,2025-01-23,0.00,3.20,0.00,10
BEELER 5H,2025-01-22,0.00,4.30,0.00,10
BEELER 5H,2025-01-21,0.00,4.10,0.00,10
BEELER 5H,2025-01-20,0.00,10.50,0.00,10
BEELER 5H,2025-01-19,0.00,8.90,0.00,10
BEELER 5H,2025-01-18,0.00,9.20,0.00,10
BEELER 5H,2025-01-17,0.00,17.40,0.00,10
BEELER 5H,2025-01-16,0.00,1.10,0.00,10
BEELER 5H,2025-01-15,0.00,9.50,0.00,10
BEELER 5H,2025-01-14,0.00,4.10,0.00,10
BEELER 5H,2025-01-13,0.00,6.50,0.00,11
BEELER 5H,2025-01-12,0.00,6.60,0.00,11
BEELER 6H,2025-03-02,0.00,15.00,0.00,11
BEELER 6H,2025-03-01,0.00,15.20,0.00,11
BEELER 6H,2025-02-28,0.00,16.40,0.00,11
BEELER 6H,2025-02-27,0.00,14.90,0.00,11
BEELER 6H,2025-02-26,0.00,13.00,0.00,11
BEELER 6H,2025-02-25,0.00,14.70,0.00,11
BEELER 6H,2025-02-24,0.00,15.10,0.00,11
BEELER 6H,2025-02-23,0.00,15.30,0.00,11
BEELER 6H,2025-02-22,0.00,14.30,0.00,11
BEELER 6H,2025-02-21,0.00,15.00,0.00,11
BEELER 6H,2025-02-20,0.00,15.10,0.00,11
BEELER 6H,2025-02-19,0.00,15.60,0.00,11
BEELER 6H,2025-02-18,0.00,14.60,0.00,11
BEELER 6H,2025-02-17,0.00,11.40,0.00,11
BEELER 6H,2025-02-16,0.00,13.10,0.00,11
BEELER 6H,2025-02-15,0.00,12.60,0.00,11
BEELER 6H,2025-02-14,0.00,12.40,0.00,11
BEELER 6H,2025-02-13,0.00,6.10,0.00,11
BEELER 6H,2025-02-12,0.00,11.20,0.00,11
BEELER 6H,2025-02-11,0.00,12.00,0.00,11
BEELER 6H,2025-02-10,2.75,15.80,0.00,11
BEELER 6H,2025-02-09,2.75,30.00,0.00,11
BEELER 6H,2025-02-08,5.50,21.30,0.00,12
BEELER 6H,2025-02-07,0.00,15.00,0.00,12
BEELER 6H,2025-02-06,0.00,30.10,0.00,12
BEELER 6H,2025-02-05,2.75,18.60,0.00,12
BEELER 6H,2025-02-04,0.00,4.70,0.00,12
BEELER 6H,2025-02-03,0.00,14.50,0.00,12
BEELER 6H,2025-02-02,0.00,15.10,0.00,12
BEELER 6H,2025-01-31,0.00,16.50,0.00,12
BEELER 6H,2025-01-30,0.00,16.70,0.00,12
BEELER 6H,2025-01-29,0.00,14.50,0.00,12
BEELER 6H,2025-01-28,0.00,13.70,0.00,12
BEELER 6H,2025-01-27,0.00,19.80,0.00,12
BEELER 6H,2025-01-26,2.75,10.80,0.00,12
BEELER 6H,2025-01-25,0.00,5.70,0.00,12
BEELER 6H,2025-01-24,2.75,27.20,0.00,12
BEELER 6H,2025-01-23,5.50,28.00,0.00,12
BEELER 6H,2025-01-22,5.50,27.30,0.00,12
BEELER 6H,2025-01-21,0.00,21.00,0.00,12
BEELER 6H,2025-01-20,0.00,20.60,0.00,12
BEELER 6H,2025-01-19,0.00,17.20,0.00,12
BEELER 6H,2025-01-18,0.00,16.10,0.00,12
BEELER 6H,2025-01-17,0.00,17.70,0.00,12
BEELER 6H,2025-01-16,0.00,15.60,0.00,12
BEELER 6H,2025-01-15,0.00,20.00,0.00,12
BEELER 6H,2025-01-14,5.50,25.50,0.00,12
BEELER 6H,2025-01-13,8.25,27.80,0.00,12
BEELER 6H,2025-01-12,8.25,21.70,0.00,13
BEELER 7H,2025-03-02,0.00,0.00,0.00,13
BEELER 7H,2025-03-01,0.00,0.00,0.00,13
BEELER 7H,2025-02-28,0.00,0.00,0.00,13
BEELER 7H,2025-02-27,0.00,0.00,0.00,13
BEELER 7H,2025-02-26,0.00,0.00,0.00,13
BEELER 7H,2025-02-25,0.00,0.00,0.00,13
BEELER 7H,2025-02-24,0.00,0.00,0.00,13
BEELER 7H,2025-02-23,0.00,0.00,0.00,13
BEELER 7H,2025-02-22,0.00,0.00,0.00,13
BEELER 7H,2025-02-21,0.00,0.00,0.00,13
BEELER 7H,2025-02-20,0.00,0.00,0.00,13
BEELER 7H,2025-02-19,0.00,0.00,0.00,13
BEELER 7H,2025-02-18,0.00,0.00,0.00,13
BEELER 7H,2025-02-17,0.00,0.00,0.00,13
BEELER 7H,2025-02-16,0.00,0.00,0.00,13
BEELER 7H,2025-02-15,0.00,0.00,0.00,13
BEELER 7H,2025-02-14,0.00,0.00,0.00,13
BEELER 7H,2025-02-13,0.00,0.00,0.00,13
BEELER 7H,2025-02-12,0.00,0.00,0.00,13
BEELER 7H,2025-02-11,0.00,0.00,0.00,13
BEELER 7H,2025-02-10,0.00,0.00,0.00,13
BEELER 7H,2025-02-09,0.00,0.00,0.00,13
BEELER 7H,2025-02-08,0.00,0.00,0.00,13
BEELER 7H,2025-02-07,0.00,0.00,0.00,14
BEELER 7H,2025-02-06,0.00,0.00,0.00,14
BEELER 7H,2025-02-05,0.00,0.00,0.00,14
BEELER 7H,2025-02-04,0.00,0.00,0.00,14
BEELER 7H,2025-02-03,0.00,0.00,0.00,14
BEELER 7H,2025-02-02,0.00,0.00,0.00,14
BEELER 7H,2025-01-31,0.00,0.00,0.00,14
BEELER 7H,2025-01-30,0.00,0.00,0.00,14
BEELER 7H,2025-01-29,0.00,0.00,0.00,14
BEELER 7H,2025-01-28,0.00,0.00,0.00,14
BEELER 7H,2025-01-27,0.00,0.00,0.00,14
BEELER 7H,2025-01-26,0.00,0.00,0.00,14
BEELER 7H,2025-01-25,0.00,0.00,0.00,14
BEELER 7H,2025-01-24,0.00,0.00,0.00,14
BEELER 7H,2025-01-23,0.00,0.00,0.00,14
BEELER 7H,2025-01-22,0.00,0.00,0.00,14
BEELER 7H,2025-01-21,0.00,0.00,0.00,14
BEELER 7H,2025-01-20,0.00,0.00,0.00,14
BEELER 7H,2025-01-19,0.00,0.00,0.00,14
BEELER 7H,2025-01-18,0.00,0.00,0.00,14
BEELER 7H,2025-01-17,0.00,0.00,0.00,14
BEELER 7H,2025-01-16,0.00,0.00,0.00,14
BEELER 7H,2025-01-15,0.00,0.00,0.00,14
BEELER 7H,2025-01-14,0.00,0.00,0.00,14
BEELER 7H,2025-01-13,0.00,0.00,0.00,14
BEELER 7H,2025-01-12,0.00,0.00,0.00,14
BEELER 8H,2025-03-02,11.00,24.20,11.00,15
BEELER 8H,2025-03-01,11.00,23.90,5.50,15
BEELER 8H,2025-02-28,8.25,21.00,11.00,15
BEELER 8H,2025-02-27,13.75,29.90,0.00,15
BEELER 8H,2025-02-26,8.25,24.60,11.00,15
BEELER 8H,2025-02-25,11.00,22.70,11.00,15
BEELER 8H,2025-02-24,8.25,20.50,16.50,15
BEELER 8H,2025-02-23,8.25,19.70,13.75,15
BEELER 8H,2025-02-22,11.00,19.60,11.00,15
BEELER 8H,2025-02-21,8.25,15.70,11.00,15
BEELER 8H,2025-02-20,8.25,17.00,11.00,15
BEELER 8H,2025-02-19,11.86,16.40,11.02,15
BEELER 8H,2025-02-18,0.00,20.90,8.25,15
BEELER 8H,2025-02-17,8.25,22.40,8.25,15
BEELER 8H,2025-02-16,11.00,24.60,16.50,15
BEELER 8H,2025-02-15,13.75,23.00,8.25,15
BEELER 8H,2025-02-14,8.25,20.40,13.75,15
BEELER 8H,2025-02-13,13.75,14.90,0.00,15
BEELER 8H,2025-02-12,16.50,28.20,16.50,15
BEELER 8H,2025-02-11,16.50,27.70,13.75,15
BEELER 8H,2025-02-10,11.00,21.10,13.75,15
BEELER 8H,2025-02-09,8.25,27.40,8.25,15
BEELER 8H,2025-02-08,5.50,23.40,8.25,15
BEELER 8H,2025-02-07,11.00,24.70,5.50,15
BEELER 8H,2025-02-06,11.00,28.30,16.50,16
BEELER 8H,2025-02-05,11.00,24.20,2.75,16
BEELER 8H,2025-02-04,7.76,24.80,16.87,16
BEELER 8H,2025-02-03,2.75,29.10,8.25,16
BEELER 8H,2025-02-02,0.00,24.10,2.75,16
BEELER 8H,2025-01-31,16.50,23.80,13.75,16
BEELER 8H,2025-01-30,11.00,22.90,2.75,16
BEELER 8H,2025-01-29,13.75,27.70,16.50,16
BEELER 8H,2025-01-28,13.75,20.70,8.25,16
BEELER 8H,2025-01-27,13.75,23.40,13.75,16
BEELER 8H,2025-01-26,13.75,27.70,8.25,16
BEELER 8H,2025-01-25,13.75,24.60,8.25,16
BEELER 8H,2025-01-24,13.75,21.60,8.25,16
BEELER 8H,2025-01-23,24.75,21.20,8.25,16
BEELER 8H,2025-01-22,13.75,19.80,8.25,16
BEELER 8H,2025-01-21,13.75,18.30,19.25,16
BEELER 8H,2025-01-20,13.75,18.30,11.00,16
BEELER 8H,2025-01-19,14.02,20.00,19.44,16
BEELER 8H,2025-01-18,11.00,23.00,5.50,16
BEELER 8H,2025-01-17,5.50,32.40,16.50,16
BEELER 8H,2025-01-16,16.50,44.00,35.75,16
BEELER 8H,2025-01-15,24.75,48.20,8.25,16
BEELER 8H,2025-01-14,11.00,51.20,27.50,16
BEELER 8H,2025-01-13,16.50,55.20,33.00,16
BEELER 8H,2025-01-12,19.25,55.20,33.00,16
BEELER UNIT A 9H,2025-03-02,0.00,0.00,0.00,17
BEELER UNIT A 9H,2025-03-01,0.00,0.00,0.00,17
BEELER UNIT A 9H,2025-02-28,0.00,0.00,0.00,17
BEELER UNIT A 9H,2025-02-27,0.00,0.00,0.00,17
BEELER UNIT A 9H,2025-02-26,0.00,0.00,0.00,17
BEELER UNIT A 9H,2025-02-25,0.00,0.00,0.00,17
BEELER UNIT A 9H,2025-02-24,0.00,0.00,0.00,17
BEELER UNIT A 9H,2025-02-23,0.00,0.00,0.00,17
BEELER UNIT A 9H,2025-02-22,0.00,0.00,0.00,17
BEELER UNIT A 9H,2025-02-21,0.00,0.00,0.00,17
BEELER UNIT A 9H,2025-02-20,0.00,0.00,0.00,17
BEELER UNIT A 9H,2025-02-19,0.00,0.00,0.00,17
BEELER UNIT A 9H,2025-02-18,0.00,0.00,0.00,17
BEELER UNIT A 9H,2025-02-17,0.00,0.00,0.00,17
BEELER UNIT A 9H,2025-02-16,0.00,0.00,0.00,17
BEELER UNIT A 9H,2025-02-15,0.00,0.00,8.25,17
BEELER UNIT A 9H,2025-02-14,0.00,0.00,0.00,17
BEELER UNIT A 9H,2025-02-13,0.00,0.00,0.00,17
BEELER UNIT A 9H,2025-02-12,0.00,0.00,2.75,17
BEELER UNIT A 9H,2025-02-11,2.75,0.00,5.50,17
BEELER UNIT A 9H,2025-02-10,0.00,0.00,0.00,17
BEELER UNIT A 9H,2025-02-09,0.00,0.00,2.75,17
BEELER UNIT A 9H,2025-02-08,0.00,0.00,5.50,17
BEELER UNIT A 9H,2025-02-07,0.00,0.00,0.00,17
BEELER UNIT A 9H,2025-02-06,0.00,0.00,0.00,18
BEELER UNIT A 9H,2025-02-05,0.00,0.00,0.00,18
BEELER UNIT A 9H,2025-02-04,0.00,0.00,0.00,18
BEELER UNIT A 9H,2025-02-03,0.00,0.00,0.00,18
BEELER UNIT A 9H,2025-02-02,0.00,0.00,0.00,18
BEELER UNIT A 9H,2025-01-31,0.00,0.00,0.00,18
BEELER UNIT A 9H,2025-01-30,0.00,0.00,0.00,18
BEELER UNIT A 9H,2025-01-29,0.00,0.00,0.00,18
BEELER UNIT A 9H,2025-01-28,0.00,0.00,0.00,18
BEELER UNIT A 9H,2025-01-27,0.00,0.00,0.00,18
BEELER UNIT A 9H,2025-01-26,0.00,0.00,0.00,18
BEELER UNIT A 9H,2025-01-25,0.00,0.00,0.00,18
BEELER UNIT A 9H,2025-01-24,0.00,0.00,0.00,18
BEELER UNIT A 9H,2025-01-23,0.00,0.00,0.00,18
BEELER UNIT A 9H,2025-01-22,0.00,0.00,0.00,18
BEELER UNIT A 9H,2025-01-21,0.00,0.00,0.00,18
BEELER UNIT A 9H,2025-01-20,0.00,0.00,0.00,18
BEELER UNIT A 9H,2025-01-19,0.00,0.00,0.00,18
BEELER UNIT A 9H,2025-01-18,0.00,0.00,0.00,18
BEELER UNIT A 9H,2025-01-17,0.00,0.00,0.00,18
BEELER UNIT A 9H,2025-01-16,0.00,0.00,0.00,18
BEELER UNIT A 9H,2025-01-15,0.00,0.00,0.00,18
BEELER UNIT A 9H,2025-01-14,0.00,0.00,0.00,18
BEELER UNIT A 9H,2025-01-13,0.00,0.00,0.00,18
BEELER UNIT A 9H,2025-01-12,0.00,0.00,0.00,18
BEELER UNIT C 20H,2025-03-02,0.00,7.80,0.00,19
BEELER UNIT C 20H,2025-03-01,0.00,11.90,0.00,19
BEELER UNIT C 20H,2025-02-28,0.00,21.90,0.00,19
BEELER UNIT C 20H,2025-02-27,5.50,35.80,11.00,19
BEELER UNIT C 20H,2025-02-26,8.25,31.80,13.75,19
BEELER UNIT C 20H,2025-02-25,8.25,28.80,13.75,19
BEELER UNIT C 20H,2025-02-24,0.00,27.60,27.50,19
BEELER UNIT C 20H,2025-02-23,11.00,40.40,5.50,19
BEELER UNIT C 20H,2025-02-22,8.25,45.50,8.25,19
BEELER UNIT C 20H,2025-02-21,5.50,53.70,19.25,19
BEELER UNIT C 20H,2025-02-20,15.50,48.50,27.69,19
BEELER UNIT C 20H,2025-02-19,11.00,55.80,30.25,19
BEELER UNIT C 20H,2025-02-18,8.25,54.70,16.50,19
BEELER UNIT C 20H,2025-02-17,16.50,48.80,22.00,19
BEELER UNIT C 20H,2025-02-16,16.50,67.20,57.75,19
BEELER UNIT C 20H,2025-02-15,13.75,91.60,16.50,19
BEELER UNIT C 20H,2025-02-14,11.00,121.50,-121.00,19
BEELER UNIT C 20H,2025-02-13,11.00,89.20,19.25,19
BEELER UNIT C 20H,2025-02-12,0.00,0.80,0.00,19
BEELER UNIT C 20H,2025-02-11,0.00,12.30,0.00,19
BEELER UNIT C 20H,2025-02-10,0.00,13.30,0.00,19
BEELER UNIT C 20H,2025-02-09,0.00,12.90,0.00,19
BEELER UNIT C 20H,2025-02-08,0.00,3.90,0.00,19
BEELER UNIT C 20H,2025-02-07,0.00,7.40,0.00,19
BEELER UNIT C 20H,2025-02-06,0.00,27.70,0.00,20
BEELER UNIT C 20H,2025-02-05,0.00,13.80,0.00,20
