Well Name,Oil (BBLS),Gas (MCF),Water (BBLS),MTD Oil,MTD Gas,MTD Water,TP,CP,Comments
Pickwill #1,8,0,0,253.0,195.0,103.0,20.0,10.0,Didn’t stay on 24hr
RAB #1,70,201,204,921.0,4186.0,3233.0,12.0,5.0,
RAB #2,47,79,20,1175.0,1920.0,520.0,58.0,50.0,
RAB #3,27,79,40,773.0,2630.0,1255.0,13.0,65.0,
Richard #1,43,94,0,541.0,2638.0,231.0,80.0,45.0,Unit off per schedule
Richardson #1,0,48,12,942.0,686.0,179.0,280.0,0.0,"Online with propane, well hot oiled"
Ronald #1,5,0,22,199.0,0.0,410.0,75.0,20.0,Unit on
Russell #1,0,22,0,121.0,990.0,0.0,40.0,0.0,"Online 
C11
A0"
Ruth #1,27,0,3,231.0,7.0,105.0,210.0,20.0,Left unit running per Frank
Ruthpick #1,0,0,0,144.0,2386.0,21.0,75.0,120.0,Off per schedule
Sansom #1,23,276,0,212.0,7679.0,106.0,94.0,0.0,Compressor on
Solansky #1,23,0,0,162.0,0.0,61.0,20.0,25.0,Unit off per schedule
Sugar Ranch #1,0,0,388,975.0,0.0,9579.0,0.0,50.0,Unit on
Sugarland #1,0,0,0,119.0,0.0,20.0,5.0,18.0,Off
TJN Unit #1,0,0,0,205.0,0.0,648.0,0.0,0.0,Unit BOL
Thalmann #1 RE,60,48,0,1730.0,1522.0,157.0,20.0,30.0,Unit on
Thompson #2,8,0,42,115.0,0.0,838.0,100.0,20.0,Unit on
Thuss #1,0,0,0,45.0,825.0,8.0,80.0,20.0,Unit off per schedule
Tlapek #1,8,0,0,141.0,0.0,62.0,30.0,15.0,Unit off per schedule
Trotter #1,0,0,0,196.0,0.0,0.0,5.0,0.0,Turned on per schedule
Verna #1,0,0,0,83.0,0.0,12.0,5.0,20.0,Off
Whittington #1,0,0,0,69.0,0.0,216.0,0.0,0.0,Unit on
Total,2254,5117,1966, , , , , , 
