Well Name,Date,Oil (BBLS),Gas (MCF),Water (BBLS),MTD Oil,MTD Gas,MTD Water,TP,CP,Comments
Kleimann #3 RE,2024-09-17,0,0,0,7006.0,0.0,0.0,0.0,0.0, 
Kleimann #3 RE,2024-09-16,0,0,0,7006.0,0.0,0.0,0.0,0.0, 
Kleimann #3 RE,2024-09-15,0,0,0,7006.0,0.0,0.0,0.0,0.0, 
Kleimann #3 RE,2024-09-14,0,0,0,7006.0,0.0,0.0,0.0,0.0, 
Kleimann #3 RE,2024-09-13,0,0,0,7006.0,0.0,0.0,0.0,0.0, 
Kleimann #3 RE,2024-09-12,377,0,0,7006.0,0.0,0.0,0.0,0.0, 
Kleimann #3 RE,2024-09-11,170,0,0,6629.0,0.0,0.0,0.0,0.0, 
Kleimann #3 RE,2024-09-10,1249,0,0,6459.0,0.0,0.0,0.0,0.0, 
Kleimann #3 RE,2024-09-09,1293,0,0,5210.0,0.0,0.0,0.0,0.0, 
Kleimann #3 RE,2024-09-08,526,0,0,3917.0,0.0,0.0,0.0,0.0, 
Kleimann #3 RE,2024-09-07,0,0,0,3391.0,0.0,0.0,0.0,0.0, 
Kleimann #3 RE,2024-09-06,911,0,0,3391.0,0.0,0.0,0.0,0.0, 
Kleimann #3 RE,2024-09-05,360,0,0,2480.0,0.0,0.0,0.0,0.0, 
Kleimann #3 RE,2024-09-04,0,0,0,2120.0,0.0,0.0,0.0,0.0, 
Kleimann #3 RE,2024-09-03,173,0,0,2120.0,0.0,0.0,0.0,0.0, 
Kleimann #3 RE,2024-09-02,707,0,0,1947.0,0.0,0.0,0.0,0.0, 
Kleimann #3 RE,2024-09-01,1240,0,0,1240.0,0.0,0.0,0.0,0.0, 
Kleimann #3 RE,2024-08-31,0,0,0,24089.0,0.0,0.0,0.0,0.0, 
Kleimann #3 RE,2024-08-30,904,0,0,24089.0,0.0,0.0,0.0,0.0, 
Kleimann #3 RE,2024-08-29,2176,0,0,23185.0,0.0,0.0,0.0,0.0, 
Kleimann #3 RE,2024-08-28,0,0,0,21009.0,0.0,0.0,0.0,0.0, 
Kleimann #3 RE,2024-08-27,0,0,0,21009.0,0.0,0.0,0.0,0.0, 
Kleimann #3 RE,2024-08-26,2193,0,0,21009.0,0.0,0.0,0.0,0.0, 
Kleimann #3 RE,2024-08-25,2199,0,0,18816.0,0.0,0.0,0.0,0.0, 
Kleimann #3 RE,2024-08-24,1446,0,0,16617.0,0.0,0.0,0.0,0.0, 
Kleimann #3 RE,2024-08-23,530,0,0,15171.0,0.0,0.0,0.0,0.0, 
Kleimann #3 RE,2024-08-22,0,0,0,14641.0,0.0,0.0,80.0,40.0, 
Kleimann #3 RE,2024-08-21,0,0,0,14641.0,0.0,0.0,80.0,40.0, 
Kleimann #3 RE,2024-08-20,708,0,0,14641.0,0.0,0.0,80.0,40.0, 
Kleimann #3 RE,2024-08-19,0,0,0,13933.0,0.0,0.0,80.0,40.0, 
Kleimann #3 RE,2024-08-18,558,0,0,13933.0,0.0,0.0,80.0,40.0, 
Kleimann #3 RE,2024-08-17,0,0,0,13375.0,0.0,0.0,80.0,40.0, 
Kleimann #3 RE,2024-08-16,885,0,0,13375.0,0.0,0.0,80.0,40.0, 
Kleimann #3 RE,2024-08-15,2370,0,0,12490.0,0.0,0.0,80.0,40.0, 
Kleimann #3 RE,2024-08-14,2555,0,0,10120.0,0.0,0.0,80.0,40.0, 
Kleimann #3 RE,2024-08-13,513,0,0,7565.0,0.0,0.0,80.0,40.0, 
Kleimann #3 RE,2024-08-12,2169,0,0,7052.0,0.0,0.0,80.0,40.0, 
Kleimann #3 RE,2024-08-11,1045,0,0,4883.0,0.0,0.0,80.0,40.0, 
Kleimann #3 RE,2024-08-10,353,0,0,3838.0,0.0,0.0,80.0,40.0,Well flowing
Kleimann #3 RE,2024-08-09,2557,0,0,3485.0,0.0,0.0,80.0,40.0, 
Kleimann #3 RE,2024-08-08,928,0,0,928.0,0.0,0.0,80.0,40.0,Well flowing
Total, ,135097,18808,6201, , , , , , 
